text,published_at,cleaned
국대경기는 너무 재미가없다ㅠㅠ epl보다 눈이 너무높아져서그런지  애들 축구같어 ㅠㅠ 그리고 너무 답답함  그냥 하이라이트로 보는걸추천,2025-07-08T14:34:16Z,국대경기는 너무 재미가없다ㅠㅠ epl보다 눈이 너무높아져서그런지 애들 축구같어 ㅠㅠ 너무 답답함 그냥 하이라이트로 보는걸추천
이거 언제 어디서 한거예요?,2025-07-08T14:29:09Z,이거 어디서 한거예요
선수들젊으니개잘힌다ㅋㅋ,2025-07-08T14:28:39Z,선수들젊으니개잘힌다ㅋㅋ
해외리거들은 왜 안왔나요?,2025-07-08T14:28:27Z,해외리거들은 안왔나요
이동경 좋네 계속해서 뽑혀야해,2025-07-08T14:24:54Z,이동경 좋네 계속해서 뽑혀야해
축구 안본지 오래됐다 홍씨 내보내면 볼텐데,2025-07-08T14:24:35Z,축구 안본지 오래됐다 홍씨 내보내면 볼텐데
"홍명보 축구는 하튼 그때 그때 대충 축구.
왜냐면 전날 졸라 술쳐먹고 하는 축구라.

문선민? 쟤는 그냥 동네 축구나 해라.
패스 하는 거 보면
상대한테 다 읽히는 저급.

뭐? 골욕심이 없어?
웃기고 있네
욕심이 없으면 제대로 어시 해야지
뭔, 에휴.
제발 쟤 좀 빼라.

황의조가 그립다.",2025-07-08T14:24:29Z,홍명보 축구는 하튼 대충 축구 왜냐면 전날 졸라 술쳐먹고 하는 축구라 문선민 쟤는 그냥 동네 축구나 해라 패스 하는 거 보면 상대한테 다 읽히는 저급 뭐 골욕심이 없어 웃기고 있네 욕심이 없으면 제대로 어시 해야지 뭔 에휴 제발 쟤 빼라 황의조가 그립다
관중이 왤케읍치ㅋㅋ,2025-07-08T14:22:17Z,관중이 왤케읍치ㅋㅋ
잘했지만 아쉬운 경기...분명 더 득점이 나왔어야 했다..해외파들이 괜히 해외파가 아님을 이 경기 통헤서 보여줬다 생각합니다 잘했지만 상대가 중국이였던 점을 감안하면 최소 5골은 나왔어야 했는데 아쉬움..선수들이 이 경기를 만족해 하지 않았음 좋겠다 평소 국내파끼리 발을 맞춘게 아니었던 점을 고려한다면 충분히 잘했다 평가는 할 수 있을듯 암튼 남녀 우승 가즈아!!,2025-07-08T14:21:48Z,잘했지만 아쉬운 경기분명 더 득점이 나왔어야 했다해외파들이 괜히 해외파가 아님을 경기 통헤서 보여줬다 생각합니다 잘했지만 상대가 중국이였던 점을 감안하면 최소 5골은 나왔어야 했는데 아쉬움선수들이 경기를 만족해 하지 않았음 좋겠다 평소 국내파끼리 발을 맞춘게 아니었던 점을 고려한다면 충분히 잘했다 평가는 할 수 있을듯 암튼 남녀 우승 가즈아
선수들 더운 날씨에 고생이 많으셨습니다. 감사드립니다.,2025-07-08T14:21:27Z,선수들 더운 날씨에 고생이 많으셨습니다 감사드립니다
중국 저거 국대 맞냐???,2025-07-08T14:19:07Z,중국 저거 국대 맞냐
관중이 없냐,2025-07-08T14:16:55Z,관중이 없냐
공 받고 바로좀 차라 제발 개모태,2025-07-08T14:16:44Z,공 받고 바로좀 차라 제발 개모태
3:0 도 감사해라 중국 아직 멀었다,2025-07-08T14:14:58Z,30 도 감사해라 중국 아직 멀었다
언론사님둘아 제발 홍명보호라는 표현 하지 말아주세요.,2025-07-08T14:12:33Z,언론사님둘아 제발 홍명보호라는 표현 하지 말아주세요
이상하게도 중국 소림축구가 안보이네요? 갑자기 착해졌나?,2025-07-08T14:11:18Z,이상하게도 중국 소림축구가 안보이네요 갑자기 착해졌나
날이 너무 더운것도 있겠지만 반의 반도 안찬 경기장을 보면 좀 슬프네..,2025-07-08T14:08:46Z,날이 너무 더운것도 있겠지만 반의 반도 안찬 경기장을 보면 슬프네
더워뒤지겟는대 뛰고잇다니....엄지척,2025-07-08T14:08:41Z,더워뒤지겟는대 뛰고잇다니엄지척
독수리슛 마니 나오네 ㅋㅋㅋ,2025-07-08T14:08:26Z,독수리슛 마니 나오네 ㅋㅋㅋ
6:45 아 씨발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2025-07-08T14:08:03Z,645 씨발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
중국 동아시아 팀이 그나마 중국 국가대표보다 낫네..  ㅎㅎ,2025-07-08T14:07:35Z,중국 동아시아 팀이 그나마 중국 국가대표보다 낫네 ㅎㅎ
정말 더웠을껀데 열심히 한 우리나라선수 최고  짱짱맨들,2025-07-08T14:06:24Z,정말 더웠을껀데 열심히 한 우리나라선수 최고 짱짱맨들
경기장에 인원이 왜케적지?,2025-07-08T14:06:18Z,경기장에 인원이 왜케적지
"팬들은 못 넣는걸 욕안함,
쉽게 안 차는걸 욕하지",2025-07-08T14:06:13Z,팬들은 못 넣는걸 욕안함 쉽게 안 차는걸 욕하지
7대0은 나왔어야 하는거 같다 아쉽다,2025-07-08T14:06:10Z,7대0은 나왔어야 하는거 아쉽다
홍은 아직까지 강국과 상대한적이없다,2025-07-08T14:06:04Z,홍은 아직까지 강국과 상대한적이없다
"축구 경기 중계. 홍보도 안하냐?
대부분이 축구 하는지도 모르고 있잖아. 홍명보-> 홍보 .?
관중이 없는거는 홍보 부족도 한몫 한거 같은데?",2025-07-08T14:05:55Z,축구 경기 중계 홍보도 안하냐 대부분이 축구 하는지도 모르고 있잖아 홍명보 홍보 관중이 없는거는 홍보 부족도 한몫 한거 같은데
대한민국/중국선수들 승패를 떠나 이 무더위에 경기하느라 고생 많았습니다.,2025-07-08T14:04:13Z,대한민국중국선수들 승패를 떠나 무더위에 경기하느라 고생 많았습니다
처음보는애들와이리많노,2025-07-08T13:59:54Z,처음보는애들와이리많노
"일본전이 걱정이다
또 3대0 아니겠지",2025-07-08T13:56:36Z,일본전이 걱정이다 3대0 아니겠지
내가 문선빈보다 축구 잘할것같은데 ㅋㅋㅋㅋㅋㅋㅋㅋ,2025-07-08T13:49:48Z,내가 문선빈보다 축구 잘할것같은데 ㅋㅋㅋㅋㅋㅋㅋㅋ
"리동경은 해외 도전 다시했으면
깡다구도 있고 중거리슈팅이라는 확실한 무기도 있음
측면이나 중앙으로 쓰기에는 애매한 구석이 있어서 쳐진 스트라이커 자리가 베스트인데 유럽 다시 도전해보길",2025-07-08T13:44:47Z,리동경은 해외 도전 다시했으면 깡다구도 있고 중거리슈팅이라는 확실한 무기도 있음 측면이나 중앙으로 쓰기에는 애매한 구석이 있어서 쳐진 스트라이커 자리가 베스트인데 유럽 다시 도전해보길
계속 쿠팡에서 국대 생중계 해라. 국민대부분은 모르고 지나가다가 유튜브로 볼꺼다.프로경기까진 이해하는데 국대경기는 공중파에서 해야하는거 아니냐?,2025-07-08T13:44:19Z,계속 쿠팡에서 국대 생중계 해라 국민대부분은 모르고 지나가다가 유튜브로 볼꺼다프로경기까진 이해하는데 국대경기는 공중파에서 해야하는거 아니냐
"❤341평 단독주택 매매 해요 
공일공사공칠이공공공칠❤",2025-07-08T13:43:33Z,341평 단독주택 매매 공일공사공칠이공공공칠
문선민 탈모임?,2025-07-08T13:42:49Z,문선민 탈모임
